Date	Open	High	Low	Close	Change (Pips)	Change (%)
Apr 04, 2019 05:00	1.12406	1.12473	1.12395	1.12472	+6.6	+0.06%
Apr 04, 2019 04:00	1.12419	1.12428	1.124	1.12407	-1.2	-0.01%
Apr 04, 2019 03:00	1.12379	1.12422	1.12366	1.12419	+4.0	+0.04%
Apr 04, 2019 02:00	1.12443	1.12449	1.12374	1.1238	-6.3	-0.06%
Apr 04, 2019 01:00	1.12442	1.12453	1.12433	1.1244	-0.2	+0.00%
Apr 04, 2019 00:00	1.12445	1.12473	1.12436	1.12443	-0.2	+0.00%
Apr 03, 2019 23:00	1.12418	1.12457	1.12418	1.12445	+2.7	+0.02%
Apr 03, 2019 22:00	1.12364	1.12424	1.12361	1.12419	+5.5	+0.05%
Apr 03, 2019 21:00	1.12318	1.12378	1.12318	1.12363	+4.5	+0.04%
Apr 03, 2019 20:00	1.12386	1.12386	1.12325	1.12332	-5.4	-0.05%
Apr 03, 2019 19:00	1.12392	1.12418	1.12379	1.12386	-0.6	-0.01%
Apr 03, 2019 18:00	1.12461	1.12471	1.12385	1.12392	-6.9	-0.06%
Apr 03, 2019 17:00	1.12442	1.12481	1.12414	1.12458	+1.6	+0.01%
Apr 03, 2019 16:00	1.12418	1.12492	1.12391	1.12444	+2.6	+0.02%
Apr 03, 2019 15:00	1.12298	1.12429	1.12284	1.12417	+11.9	+0.11%
Apr 03, 2019 14:00	1.1235	1.12427	1.12248	1.12295	-5.5	-0.05%
Apr 03, 2019 13:00	1.12342	1.12368	1.12273	1.12327	-1.5	-0.01%
Apr 03, 2019 12:00	1.1246	1.12497	1.12337	1.12342	-11.8	-0.11%
Apr 03, 2019 11:00	1.12433	1.12505	1.12422	1.12463	+3.0	+0.03%
Apr 03, 2019 10:00	1.12477	1.1249	1.1243	1.1243	-4.7	-0.04%
Apr 03, 2019 09:00	1.12435	1.12549	1.1239	1.12482	+4.7	+0.04%
Apr 03, 2019 08:00	1.12373	1.1245	1.12322	1.12435	+6.2	+0.06%
Apr 03, 2019 07:00	1.12234	1.12429	1.12154	1.12377	+14.3	+0.13%
Apr 03, 2019 06:00	1.12254	1.12287	1.12176	1.12232	-2.2	-0.02%
Apr 03, 2019 05:00	1.12228	1.12266	1.12212	1.12256	+2.8	+0.02%
